City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bilibino,68.0546,166.4372,10.12,58,81,0.54,RU,1691461870
83,mermoz boabab,14.7065,-17.4758,26.88,78,40,5.14,SN,1691461871
84,sholokhovskiy,48.2807,41.0459,23.71,53,0,4.27,RU,1691461871
85,tazacorte,28.629,-17.9293,21.54,85,0,2.68,ES,1691461872
86,thunder bay,48.4001,-89.3168,19.99,60,20,2.06,CA,1691461865
87,presidente medici,-11.1753,-61.9014,27.45,40,71,0.88,BR,1691461873
88,noumea,-22.2763,166.4572,22.99,75,95,6.63,NC,1691461857
89,lubang,13.8584,120.124,28.48,82,69,8.37,PH,1691461873
90,fale old settlement,-9.3852,-171.2468,28.25,68,17,6.03,TK,1691461873
91,punta arenas,-53.15,-70.9167,2.01,66,100,3.41,CL,1691461874
92,st. john's,47.5649,-52.7093,14.82,91,100,9.26,CA,1691461577
93,lupane,-18.9315,27.807,10.21,58,8,2.45,ZW,1691461874
94,olonkinbyen,70.9221,-8.7187,4.18,79,100,1.84,SJ,1691461875
95,lerwick,60.1545,-1.1494,8.0,72,73,6.66,GB,1691461875
96,kara suu,40.7046,72.8667,22.98,60,20,2.0,KG,1691461875
97,hermanus,-34.4187,19.2345,12.67,90,55,3.55,ZA,1691461875
98,lorengau,-2.0226,147.2712,28.92,71,52,7.14,PG,1691461876
99,malabar,-33.9667,151.25,19.84,63,40,3.09,AU,1691461876
100,oranjemund,-28.55,16.4333,11.92,97,36,3.12,NA,1691461876
101,tafuna,-14.3358,-170.72,29.97,79,20,4.12,AS,1691461877
102,alofi,-19.0595,-169.9187,24.94,88,75,3.6,NU,1691461877
103,zhezqazghan,47.7833,67.7667,19.32,82,75,3.0,KZ,1691461878
104,stanley,54.868,-1.6985,9.94,90,0,4.12,GB,1691461879
105,port elizabeth,-33.918,25.5701,13.16,94,0,4.63,ZA,1691461680
106,weyburn,49.6668,-103.8511,25.12,25,24,0.51,CA,1691461810
107,codrington,-38.2667,141.9667,13.72,62,0,3.33,AU,1691461879
108,nyaungdon,17.0333,95.65,26.03,86,100,4.48,MM,1691461880
109,santiago de cao,-7.9589,-79.2392,22.07,83,78,2.57,PE,1691461881
110,cambria,35.5641,-121.0808,28.41,95,38,1.79,US,1691461881
111,yarmouth,41.7057,-70.2286,23.34,92,75,4.12,US,1691461881
112,ribeira grande,38.5167,-28.7,20.99,82,3,3.58,PT,1691461882
113,argo,37.6333,22.7333,24.88,62,0,2.15,GR,1691461882
114,scarborough,54.2797,-0.4044,12.1,88,11,0.89,GB,1691461882
115,okhotsk,59.3833,143.3,15.88,47,88,2.3,RU,1691461882
116,ketchikan,55.3422,-131.6461,16.26,88,100,9.77,US,1691461594
117,sorong,-0.8833,131.25,28.74,68,83,5.92,ID,1691461883
118,margate,51.3813,1.3862,12.95,80,74,1.34,GB,1691461673
119,black point,-34.6187,137.8972,13.72,57,0,3.25,AU,1691461884
120,karratha,-20.7377,116.8463,27.3,28,0,6.31,AU,1691461884
121,arkalyk,50.2486,66.9114,23.19,34,24,5.69,KZ,1691461885
122,iaciara,-14.0958,-46.6317,21.64,31,1,1.48,BR,1691461885
123,ola,59.5833,151.2833,16.75,50,82,3.89,RU,1691461885
124,broceni,56.7,22.5333,13.95,94,100,5.89,LV,1691461885
125,karatau,43.1667,70.4667,24.76,42,66,2.7,KZ,1691461886
126,kuanda,56.3161,116.0806,26.37,39,50,0.75,RU,1691461886
127,hassi messaoud,31.6804,6.0729,27.92,21,0,2.06,DZ,1691461886
128,prey veng,11.4868,105.3253,33.58,46,30,7.4,KH,1691461887
129,igarka,67.4667,86.5833,19.51,54,10,3.0,RU,1691461888
130,sanghar,26.0466,68.9481,29.5,67,8,11.29,PK,1691461888
131,avarua,-21.2078,-159.775,24.03,69,75,2.06,CK,1691461888
132,andergrove,-21.0833,149.1833,24.8,71,3,7.28,AU,1691461888
133,lebu,-37.6167,-73.65,9.85,79,99,0.99,CL,1691461889
134,acapulco de juarez,16.8634,-99.8901,29.9,79,40,2.06,MX,1691461779
135,kailua-kona,19.6406,-155.9956,30.98,65,0,6.17,US,1691461889
136,sinabang,2.4803,96.3801,24.98,88,100,0.71,ID,1691461890
137,mont-dore,-22.2833,166.5833,22.99,76,95,5.98,NC,1691461890
138,tiksi,71.6872,128.8694,10.42,55,39,2.17,RU,1691461890
139,kachug,53.9606,105.8817,22.91,52,21,2.53,RU,1691461891
140,college,64.8569,-147.8028,23.1,59,75,1.54,US,1691461819
141,mikhaylovka,50.06,43.2379,23.17,44,0,3.8,RU,1691461891
142,valparaiso,-33.0393,-71.6273,15.0,66,100,1.54,CL,1691461892
143,isla vista,34.4133,-119.861,25.2,78,20,3.6,US,1691461892
144,bangaon,23.0667,88.8167,25.17,96,100,4.43,IN,1691461892
145,arawa,-6.2132,155.5367,26.23,91,100,1.75,PG,1691461892
146,hawaiian paradise park,19.5933,-154.9731,28.73,69,100,5.14,US,1691461893
147,byron bay,-28.65,153.6167,19.28,48,42,6.0,AU,1691461893
148,sarmiento,-45.5882,-69.07,6.21,56,100,2.65,AR,1691461894
149,sai kung,22.3822,114.2728,34.6,78,74,3.54,CN,1691461894
150,al ghayzah,16.2079,52.176,25.68,90,38,4.32,YE,1691461894
151,nyurba,63.2842,118.3319,26.22,41,7,3.55,RU,1691461894
152,tindouf,27.6711,-8.1474,33.25,29,40,3.09,DZ,1691461895
153,namibe,-15.1961,12.1522,17.45,85,0,0.39,AO,1691461895
154,bonny,4.4522,7.1681,25.06,82,75,3.84,NG,1691461896
155,dudinka,69.4058,86.1778,18.68,54,100,3.45,RU,1691461896
156,ponnani,10.767,75.9252,24.62,76,100,2.16,IN,1691461896
157,grand falls-windsor,48.9332,-55.6649,13.06,88,35,3.45,CA,1691461896
158,impfondo,1.6381,18.0667,20.94,95,100,0.66,CG,1691461896
159,barcelos,41.5388,-8.6151,27.08,38,0,2.33,PT,1691461897
160,shenkursk,62.1091,42.896,14.65,80,0,2.59,RU,1691461897
161,el nido,11.1858,119.3956,29.55,73,19,7.2,PH,1691461898
162,susuman,62.7833,148.1667,11.59,39,82,4.86,RU,1691461898
163,natchitoches,31.7668,-93.1335,32.47,66,0,1.54,US,1691461899
